pair_id,model_a_slot,model_a_id,model_b_slot,model_b_id,common_valid_items,correct_a,correct_b,accuracy_a,accuracy_b,accuracy_difference_a_minus_b,bootstrap_ci_low,bootstrap_ci_high,matched_odds_ratio_a_vs_b,raw_p,family_size,adjustment,holm_p,holm_reject,higher_accuracy_model,bootstrap_ci_multiplicity_adjusted
PW01,S01,gpt-5.5-2026-04-23,S02,gpt-5.4-mini-2026-03-17,72,51,31,0.7083333333333334,0.4305555555555556,0.2777777777777778,0.16666666666666666,0.3888888888888889,11,3.588199615478515e-5,28,Holm,5.382299423217772e-4,TRUE,gpt-5.5-2026-04-23,FALSE
PW02,S01,gpt-5.5-2026-04-23,S03,claude-sonnet-5,72,51,30,0.7083333333333334,0.4166666666666667,0.2916666666666667,0.18055555555555555,0.4166666666666667,11.5,1.943111419677737e-5,28,Holm,3.303289413452153e-4,TRUE,gpt-5.5-2026-04-23,FALSE
PW03,S01,gpt-5.5-2026-04-23,S04,claude-haiku-4-5-20251001,72,51,10,0.7083333333333334,0.1388888888888889,0.5694444444444444,0.4583333333333333,0.6805555555555556,Inf,9.094947017729309e-13,28,Holm,2.546585164964206e-11,TRUE,gpt-5.5-2026-04-23,FALSE
PW04,S01,gpt-5.5-2026-04-23,S05,gemini-3.6-flash,72,51,45,0.7083333333333334,0.625,0.08333333333333337,0,0.18055555555555555,3,0.14599609375000008,28,Holm,0.8759765625000004,FALSE,gpt-5.5-2026-04-23,FALSE
PW05,S01,gpt-5.5-2026-04-23,S06,gemini-3.5-flash-lite,71,50,39,0.704225352112676,0.5492957746478874,0.15492957746478864,0.04225352112676056,0.2676056338028169,4.666666666666667,0.01272583007812499,28,Holm,0.11453247070312496,FALSE,gpt-5.5-2026-04-23,FALSE
PW06,S01,gpt-5.5-2026-04-23,S07,openai/gpt-oss-120b,71,50,14,0.704225352112676,0.19718309859154928,0.5070422535211268,0.38028169014084506,0.6338028169014085,37,2.83762346953155e-10,28,Holm,7.094058673828875e-9,TRUE,gpt-5.5-2026-04-23,FALSE
PW07,S01,gpt-5.5-2026-04-23,S08,qwen/qwen3.6-27b,72,51,10,0.7083333333333334,0.1388888888888889,0.5694444444444444,0.4583333333333333,0.6805555555555556,Inf,9.094947017729309e-13,28,Holm,2.546585164964206e-11,TRUE,gpt-5.5-2026-04-23,FALSE
PW08,S02,gpt-5.4-mini-2026-03-17,S03,claude-sonnet-5,72,31,30,0.4305555555555556,0.4166666666666667,0.01388888888888889,-0.1111111111111111,0.1388888888888889,1.1,1,28,Holm,1,FALSE,gpt-5.4-mini-2026-03-17,FALSE
PW09,S02,gpt-5.4-mini-2026-03-17,S04,claude-haiku-4-5-20251001,72,31,10,0.4305555555555556,0.1388888888888889,0.2916666666666667,0.19444444444444445,0.4027777777777778,Inf,9.536743164062496e-7,28,Holm,1.907348632812499e-5,TRUE,gpt-5.4-mini-2026-03-17,FALSE
PW10,S02,gpt-5.4-mini-2026-03-17,S05,gemini-3.6-flash,72,31,45,0.4305555555555556,0.625,-0.1944444444444444,-0.2916666666666667,-0.09722222222222222,0.06666666666666667,5.187988281250004e-4,28,Holm,0.00634765624999999,TRUE,gemini-3.6-flash,FALSE
PW11,S02,gpt-5.4-mini-2026-03-17,S06,gemini-3.5-flash-lite,71,31,39,0.43661971830985913,0.5492957746478874,-0.11267605633802824,-0.22535211267605632,0,0.38461538461538464,0.09625244140625,28,Holm,0.6737670898437501,FALSE,gemini-3.5-flash-lite,FALSE
PW12,S02,gpt-5.4-mini-2026-03-17,S07,openai/gpt-oss-120b,71,31,14,0.43661971830985913,0.19718309859154928,0.23943661971830985,0.1267605633802817,0.352112676056338,6.666666666666667,4.882812499999996e-4,28,Holm,0.00634765624999999,TRUE,gpt-5.4-mini-2026-03-17,FALSE
PW13,S02,gpt-5.4-mini-2026-03-17,S08,qwen/qwen3.6-27b,72,31,10,0.4305555555555556,0.1388888888888889,0.2916666666666667,0.16666666666666666,0.4166666666666667,11.5,1.943111419677737e-5,28,Holm,3.303289413452153e-4,TRUE,gpt-5.4-mini-2026-03-17,FALSE
PW14,S03,claude-sonnet-5,S04,claude-haiku-4-5-20251001,72,30,10,0.4166666666666667,0.1388888888888889,0.2777777777777778,0.16666666666666666,0.3888888888888889,21,1.096725463867187e-5,28,Holm,1.9741058349609367e-4,TRUE,claude-sonnet-5,FALSE
PW15,S03,claude-sonnet-5,S05,gemini-3.6-flash,72,30,45,0.4166666666666667,0.625,-0.20833333333333331,-0.3333333333333333,-0.08333333333333333,0.21052631578947367,0.00259947776794433,28,Holm,0.02599477767944335,TRUE,gemini-3.6-flash,FALSE
PW16,S03,claude-sonnet-5,S06,gemini-3.5-flash-lite,71,29,39,0.4084507042253521,0.5492957746478874,-0.14084507042253525,-0.2535211267605634,-0.01408450704225352,0.3333333333333333,0.04138946533203128,28,Holm,0.3311157226562503,FALSE,gemini-3.5-flash-lite,FALSE
PW17,S03,claude-sonnet-5,S07,openai/gpt-oss-120b,71,30,14,0.4225352112676056,0.19718309859154928,0.22535211267605632,0.09859154929577464,0.352112676056338,5,0.00154387950897216,28,Holm,0.01698267459869383,TRUE,claude-sonnet-5,FALSE
PW18,S03,claude-sonnet-5,S08,qwen/qwen3.6-27b,72,30,10,0.4166666666666667,0.1388888888888889,0.2777777777777778,0.1527777777777778,0.4027777777777778,7.666666666666667,8.797645568847668e-5,28,Holm,0.00123167037963867,TRUE,claude-sonnet-5,FALSE
PW19,S04,claude-haiku-4-5-20251001,S05,gemini-3.6-flash,72,10,45,0.1388888888888889,0.625,-0.4861111111111111,-0.5972222222222222,-0.375,0,5.82076609134676e-11,28,Holm,1.513399183750158e-9,TRUE,gemini-3.6-flash,FALSE
PW20,S04,claude-haiku-4-5-20251001,S06,gemini-3.5-flash-lite,71,10,39,0.14084507042253522,0.5492957746478874,-0.4084507042253521,-0.5211267605633803,-0.28169014084507044,0.03333333333333333,2.980232238769535e-8,28,Holm,6.854534149169931e-7,TRUE,gemini-3.5-flash-lite,FALSE
PW21,S04,claude-haiku-4-5-20251001,S07,openai/gpt-oss-120b,71,10,14,0.14084507042253522,0.19718309859154928,-0.05633802816901406,-0.14084507042253522,0.01408450704225352,0.3333333333333333,0.2890625000000001,28,Holm,1,FALSE,openai/gpt-oss-120b,FALSE
PW22,S04,claude-haiku-4-5-20251001,S08,qwen/qwen3.6-27b,72,10,10,0.1388888888888889,0.1388888888888889,0,-0.08333333333333333,0.08333333333333333,1,1,28,Holm,1,FALSE,TIE,FALSE
PW23,S05,gemini-3.6-flash,S06,gemini-3.5-flash-lite,71,44,39,0.6197183098591549,0.5492957746478874,0.07042253521126751,-0.04225352112676056,0.19718309859154928,1.7142857142857142,0.35928344726562517,28,Holm,1,FALSE,gemini-3.6-flash,FALSE
PW24,S05,gemini-3.6-flash,S07,openai/gpt-oss-120b,71,45,14,0.6338028169014085,0.19718309859154928,0.4366197183098592,0.30985915492957744,0.5633802816901409,16.5,3.6729034036398066e-8,28,Holm,7.713097147643594e-7,TRUE,gemini-3.6-flash,FALSE
PW25,S05,gemini-3.6-flash,S08,qwen/qwen3.6-27b,72,45,10,0.625,0.1388888888888889,0.4861111111111111,0.3611111111111111,0.6111111111111112,18.5,2.841261448338642e-9,28,Holm,6.819027476012741e-8,TRUE,gemini-3.6-flash,FALSE
PW26,S06,gemini-3.5-flash-lite,S07,openai/gpt-oss-120b,70,38,14,0.5428571428571428,0.2,0.3428571428571428,0.21428571428571427,0.4714285714285714,9,8.430331945419322e-6,28,Holm,1.601763069629671e-4,TRUE,gemini-3.5-flash-lite,FALSE
PW27,S06,gemini-3.5-flash-lite,S08,qwen/qwen3.6-27b,71,39,10,0.5492957746478874,0.14084507042253522,0.4084507042253521,0.29577464788732394,0.5211267605633803,30,2.980232238769535e-8,28,Holm,6.854534149169931e-7,TRUE,gemini-3.5-flash-lite,FALSE
PW28,S07,openai/gpt-oss-120b,S08,qwen/qwen3.6-27b,71,14,10,0.19718309859154928,0.14084507042253522,0.05633802816901406,-0.01408450704225352,0.14084507042253522,3,0.2890625000000001,28,Holm,1,FALSE,openai/gpt-oss-120b,FALSE
