subgroup,level,items,valid_responses,semantic_correct,semantic_accuracy,bootstrap_ci_low,bootstrap_ci_high,sparse_level_lt5_items,single_item_level,bootstrap_degenerate,analysis_role
answer_form,list,11,88,32,0.3636363636363637,0.18181818181818185,0.5568181818181818,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
answer_form,multi_word,15,120,29,0.24166666666666667,0.13333333333333333,0.36666666666666664,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
answer_form,numeric,6,48,18,0.375,0.10416666666666669,0.6875,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
answer_form,phrase,4,31,7,0.2258064516129032,0.125,0.3448275862068966,TRUE,FALSE,FALSE,SECONDARY_DESCRIPTIVE_SPARSE
answer_form,single_word,36,287,144,0.5017421602787456,0.4076655052264808,0.5937663898601396,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,"K1 — Dishes, Products & Geographic Associations",12,96,59,0.6145833333333334,0.4791666666666667,0.7395833333333334,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,K2 — Ingredients & Composition,12,95,33,0.3473684210526316,0.22105263157894736,0.46875,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,K3 — Preparation & Cooking Techniques,12,96,28,0.2916666666666667,0.17708333333333334,0.4166666666666667,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,K4 — Geographical Indications & Product Specifications,12,96,30,0.3125,0.19791666666666663,0.4375,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,K5 — Culinary Terminology & Traditional Practices,12,96,29,0.3020833333333333,0.09375,0.5520833333333334,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_domain,"K6 — Culinary History, Heritage & Cultural Context",12,95,51,0.5368421052631579,0.3645833333333333,0.7021276595744681,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,General/Heritage,11,87,56,0.6436781609195402,0.4431818181818182,0.8275862068965517,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Local,8,64,19,0.296875,0.09375,0.515625,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Local/Heritage,8,64,14,0.21875,0.0625,0.40625,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Local/Technical,10,80,24,0.3,0.175,0.4375,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Regional,12,95,53,0.5578947368421052,0.42105263157894735,0.6875,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Regional/Heritage,1,8,0,0,0,0,TRUE,TRUE,TRUE,SECONDARY_DESCRIPTIVE_SPARSE
knowledge_specificity,Regional/Technical,4,32,13,0.40625,0.1875,0.625,TRUE,FALSE,FALSE,SECONDARY_DESCRIPTIVE_SPARSE
knowledge_specificity,Technical,17,136,43,0.3161764705882353,0.22058823529411764,0.4117647058823529,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
knowledge_specificity,Technical/Heritage,1,8,8,1,1,1,TRUE,TRUE,TRUE,SECONDARY_DESCRIPTIVE_SPARSE
lexical_leakage,L0,60,478,190,0.3974895397489539,0.32150313152400833,0.47578947368421054,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE; CONFIRMATORY INFERENCE REPORTED ONLY UNDER H2
lexical_leakage,L1,12,96,40,0.4166666666666667,0.23958333333333337,0.6041666666666666,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE; CONFIRMATORY INFERENCE REPORTED ONLY UNDER H2
numeric_answer,FALSE,66,526,212,0.40304182509505704,0.3333333333333333,0.4751908396946565,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
numeric_answer,TRUE,6,48,18,0.375,0.10416666666666669,0.6875,FALSE,FALSE,FALSE,SECONDARY_DESCRIPTIVE
