taxonomy_dimension,category,category_count,technically_valid_responses,final_in_responses,prevalence_among_valid,composition_among_errors,prevalence_bootstrap_ci_low,prevalence_bootstrap_ci_high,composition_bootstrap_ci_low,composition_bootstrap_ci_high,valid_bootstrap_repetitions,analysis_role
error_operation,SUBSTITUTION,238,574,283,0.4146341463414634,0.8409893992932862,0.35304347826086957,0.47386986425667826,0.7580619478117937,0.9124087591240876,10000,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,35,574,283,0.06097560975609756,0.1236749116607774,0.0313588850174216,0.09581881533101046,0.06593406593406594,0.1909403294425657,10000,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,10,574,283,0.01742160278745644,0.0353356890459364,0.0017391304347826,0.04513888888888889,0.00338983050847457,0.08984484726123594,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,61,574,283,0.10627177700348432,0.215547703180212,0.05584642233856893,0.1634782608695652,0.1156428908196942,0.3276523054814773,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,47,574,283,0.08188153310104529,0.16607773851590105,0.03304347826086956,0.13763066202090593,0.06882347621631399,0.2714851467365924,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,45,574,283,0.078397212543554,0.15901060070671377,0.03321533396795177,0.12937629358382416,0.07017382015925422,0.259940366972477,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,42,574,283,0.07317073170731707,0.14840989399293286,0.03642100087412591,0.11847206766757264,0.07168428199199971,0.2423080204778157,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,35,574,283,0.06097560975609756,0.1236749116607774,0.02430555555555555,0.10471204188481675,0.04901960784313725,0.2101731907452246,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,32,574,283,0.05574912891986063,0.11307420494699646,0.01732112886748398,0.10434782608695652,0.03384097859327217,0.20714356858281163,10000,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,21,574,283,0.03658536585365853,0.07420494699646643,0.00698080279232111,0.07329842931937172,0.01497987590139191,0.14894157951676876,10000,EXPLORATORY_DESCRIPTIVE
