taxonomy_dimension,category,model_slot,provider,requested_model_id,category_count,valid_responses,prevalence_among_valid,prevalence_wilson_ci_low,prevalence_wilson_ci_high,error_responses,composition_among_errors,composition_wilson_ci_low,composition_wilson_ci_high,inference_status
error_operation,ADDITION,S01,openai,gpt-5.5-2026-04-23,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,20,0.05,0.00888144880079538,0.23613119344674197,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S02,openai,gpt-5.4-mini-2026-03-17,2,72,0.027777777777777776,0.007651021904494578,0.09574175221438222,39,0.05128205128205128,0.014177955415274114,0.1688564004761361,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S03,anthropic,claude-sonnet-5,2,72,0.027777777777777776,0.007651021904494578,0.09574175221438222,39,0.05128205128205128,0.014177955415274114,0.1688564004761361,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S04,anthropic,claude-haiku-4-5-20251001,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,30,0.03333333333333333,0.00590859038161246,0.1667039099140917,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S05,google,gemini-3.6-flash,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,23,0.043478260869565216,0.007716666143453135,0.20991155070258868,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S06,google,gemini-3.5-flash-lite,0,71,0,3.291367344654092e-18,0.05132795219689031,24,0,0,0.13797620467498012,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S07,groq,openai/gpt-oss-120b,2,71,0.028169014084507043,0.007759263582683524,0.09701500116649467,52,0.038461538461538464,0.010611711001315291,0.1298118915745576,EXPLORATORY_DESCRIPTIVE
error_operation,ADDITION,S08,groq,qwen/qwen3.6-27b,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,56,0.017857142857142856,0.003159210341974673,0.09445637149397573,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S01,openai,gpt-5.5-2026-04-23,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,20,0.05,0.00888144880079538,0.23613119344674197,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S02,openai,gpt-5.4-mini-2026-03-17,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,39,0.10256410256410256,0.04061331344668381,0.23578854462856524,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S03,anthropic,claude-sonnet-5,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S04,anthropic,claude-haiku-4-5-20251001,3,72,0.041666666666666664,0.0142708074669252,0.1154927674131611,30,0.1,0.034599888747334176,0.2562108257918408,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S05,google,gemini-3.6-flash,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,23,0.043478260869565216,0.007716666143453135,0.20991155070258868,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S06,google,gemini-3.5-flash-lite,5,71,0.07042253521126761,0.030453602439710924,0.15449013113789906,24,0.20833333333333334,0.09244825352851854,0.40470453253188654,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S07,groq,openai/gpt-oss-120b,8,71,0.11267605633802817,0.05821271729792874,0.2069004851081131,52,0.15384615384615385,0.08007685016780325,0.2752408517641014,EXPLORATORY_DESCRIPTIVE
error_operation,OMISSION,S08,groq,qwen/qwen3.6-27b,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,56,0.14285714285714285,0.07420788536920624,0.2573592122870533,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S01,openai,gpt-5.5-2026-04-23,18,72,0.25,0.16439051225478954,0.36093507404343933,20,0.9,0.6989663547715128,0.9721335187862318,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S02,openai,gpt-5.4-mini-2026-03-17,33,72,0.4583333333333333,0.348286270576262,0.5726013271401095,39,0.8461538461538461,0.7027053635107332,0.927525276230179,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S03,anthropic,claude-sonnet-5,32,72,0.4444444444444444,0.33539070561321394,0.559126091341948,39,0.8205128205128205,0.6733195433811838,0.9102273452678089,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S04,anthropic,claude-haiku-4-5-20251001,26,72,0.3611111111111111,0.25981679706174077,0.47647519532616417,30,0.8666666666666667,0.7031867331796372,0.9469034451594526,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S05,google,gemini-3.6-flash,21,72,0.2916666666666667,0.19938056188836686,0.4050574266934906,23,0.9130434782608695,0.7320401892425634,0.9758199955157797,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S06,google,gemini-3.5-flash-lite,19,71,0.2676056338028169,0.17852803486507765,0.38053988657854737,24,0.7916666666666666,0.5952954674681135,0.9075517464714814,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S07,groq,openai/gpt-oss-120b,42,71,0.5915492957746479,0.4753878184942342,0.6983126973007013,52,0.8076923076923077,0.6810113918634199,0.8920395397526649,EXPLORATORY_DESCRIPTIVE
error_operation,SUBSTITUTION,S08,groq,qwen/qwen3.6-27b,47,72,0.6527777777777778,0.5376130384560558,0.7524657699172488,56,0.8392857142857143,0.7219379333025049,0.9130733239240486,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S01,openai,gpt-5.5-2026-04-23,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,20,0.05,0.00888144880079538,0.23613119344674197,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S02,openai,gpt-5.4-mini-2026-03-17,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S03,anthropic,claude-sonnet-5,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S04,anthropic,claude-haiku-4-5-20251001,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,30,0.03333333333333333,0.00590859038161246,0.1667039099140917,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S05,google,gemini-3.6-flash,3,72,0.041666666666666664,0.0142708074669252,0.1154927674131611,23,0.13043478260869565,0.04537659093631236,0.3212748227009596,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S06,google,gemini-3.5-flash-lite,3,71,0.04225352112676056,0.01447326062047533,0.11702416040484678,24,0.125,0.043443340801234416,0.3100388127050006,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S07,groq,openai/gpt-oss-120b,8,71,0.11267605633802817,0.05821271729792874,0.2069004851081131,52,0.15384615384615385,0.08007685016780325,0.2752408517641014,EXPLORATORY_DESCRIPTIVE
semantic_target,ATTRIBUTE_SPECIFICATION,S08,groq,qwen/qwen3.6-27b,9,72,0.125,0.06717784220573507,0.2208105372416083,56,0.16071428571428573,0.08692667607595142,0.2780620666974952,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S01,openai,gpt-5.5-2026-04-23,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,20,0.05,0.00888144880079538,0.23613119344674197,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S02,openai,gpt-5.4-mini-2026-03-17,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,39,0.10256410256410256,0.04061331344668381,0.23578854462856524,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S03,anthropic,claude-sonnet-5,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S04,anthropic,claude-haiku-4-5-20251001,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,30,0.16666666666666666,0.0733654237184855,0.3356435050641603,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S05,google,gemini-3.6-flash,3,72,0.041666666666666664,0.0142708074669252,0.1154927674131611,23,0.13043478260869565,0.04537659093631236,0.3212748227009596,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S06,google,gemini-3.5-flash-lite,3,71,0.04225352112676056,0.01447326062047533,0.11702416040484678,24,0.125,0.043443340801234416,0.3100388127050006,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S07,groq,openai/gpt-oss-120b,5,71,0.07042253521126761,0.030453602439710924,0.15449013113789906,52,0.09615384615384616,0.041774351052572475,0.2060963012013163,EXPLORATORY_DESCRIPTIVE
semantic_target,CULTURAL_HERITAGE,S08,groq,qwen/qwen3.6-27b,6,72,0.08333333333333333,0.038752424956949666,0.17012355220676512,56,0.10714285714285714,0.05003935571117073,0.2146844517107148,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S01,openai,gpt-5.5-2026-04-23,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,20,0.25,0.11186170140766569,0.46870087761874396,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S02,openai,gpt-5.4-mini-2026-03-17,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,39,0.20512820512820512,0.10779718230710386,0.3553396801358229,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S03,anthropic,claude-sonnet-5,10,72,0.1388888888888889,0.07722730770298984,0.23713187250556303,39,0.2564102564102564,0.14568780540992585,0.4108165592168396,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S04,anthropic,claude-haiku-4-5-20251001,7,72,0.09722222222222222,0.047896319973655774,0.18735045795126853,30,0.23333333333333334,0.11792388144489502,0.40928326158122175,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S05,google,gemini-3.6-flash,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,23,0.21739130434782608,0.09663978026586202,0.41903483016264,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S06,google,gemini-3.5-flash-lite,4,71,0.056338028169014086,0.022124519301696653,0.13609605799976943,24,0.16666666666666666,0.06678676328632953,0.35853070649699054,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S07,groq,openai/gpt-oss-120b,10,71,0.14084507042253522,0.07834202212357168,0.24021749283475796,52,0.19230769230769232,0.10796046024733509,0.3189886081365802,EXPLORATORY_DESCRIPTIVE
semantic_target,INGREDIENT_COMPOSITION,S08,groq,qwen/qwen3.6-27b,12,72,0.16666666666666666,0.09799371242561684,0.26910706930535494,56,0.21428571428571427,0.1270590424909565,0.33819463563405117,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S01,openai,gpt-5.5-2026-04-23,3,72,0.041666666666666664,0.0142708074669252,0.1154927674131611,20,0.15,0.05236874589621661,0.3604188647407569,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S02,openai,gpt-5.4-mini-2026-03-17,2,72,0.027777777777777776,0.007651021904494578,0.09574175221438222,39,0.05128205128205128,0.014177955415274114,0.1688564004761361,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S03,anthropic,claude-sonnet-5,3,72,0.041666666666666664,0.0142708074669252,0.1154927674131611,39,0.07692307692307693,0.026507395303779747,0.2032107116795499,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S04,anthropic,claude-haiku-4-5-20251001,0,72,0,0,0.05065117259645778,30,0,0,0.11351339317396873,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S05,google,gemini-3.6-flash,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,23,0.17391304347826086,0.0697865356306257,0.37137647640226135,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S06,google,gemini-3.5-flash-lite,3,71,0.04225352112676056,0.01447326062047533,0.11702416040484678,24,0.125,0.043443340801234416,0.3100388127050006,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S07,groq,openai/gpt-oss-120b,2,71,0.028169014084507043,0.007759263582683524,0.09701500116649467,52,0.038461538461538464,0.010611711001315291,0.1298118915745576,EXPLORATORY_DESCRIPTIVE
semantic_target,NUMERIC_TEMPORAL,S08,groq,qwen/qwen3.6-27b,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,56,0.07142857142857142,0.028126036578876974,0.16975448060863452,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S01,openai,gpt-5.5-2026-04-23,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,20,0.05,0.00888144880079538,0.23613119344674197,EXPLORATORY_DESCRIPTIVE
